問卷編號,"性別(男:0, 女:1)",出生年,年齡,CIAS_1,CIAS_2,CIAS_3,CIAS_4,CIAS_5,CIAS_6,CIAS_7,CIAS_8,CIAS_9,CIAS_10,CIAS_11,CIAS_12,CIAS_13,CIAS_14,CIAS_15,CIAS_16,CIAS_17,CIAS_18,CIAS_19,CIAS_20,CIAS_21,CIAS_22,CIAS_23,CIAS_24,CIAS_25,CIAS_26
48,0,87,12,3,4,2,4,4,4,2,2,2,4,4,4,2,2,3,4,3,4,4,4,2,4,2,3,4,1
49,1,86,13,3,2,4,1,3,4,1,1,2,2,4,2,3,2,3,1,1,3,3,2,3,4,1,3,3,1
50,1,86,13,2,3,3,3,3,3,3,2,3,2,3,2,3,2,2,2,1,1,3,3,2,2,3,3,3,2
51,1,87,12,3,1,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,1
52,0,87,12,3,3,4,4,4,3,3,1,3,3,3,2,3,3,2,4,3,2,2,4,3,2,2,2,2,1
53,1,87,12,2,2,3,2,3,3,2,2,2,2,3,2,3,2,2,3,2,2,2,2,2,3,2,2,2,2
54,0,87,12,4,3,2,1,2,3,4,3,2,3,3,2,2,2,3,,3,3,4,3,4,3,4,3,3,3
55,0,86,13,,3,3,,,3,3,1,1,3,1,1,2,1,3,3,2,1,3,4,4,1,1,3,3,1
56,0,86,13,1,4,2,4,2,3,2,3,3,1,3,2,4,4,3,2,4,1,3,2,3,1,3,4,1,2
57,1,87,12,3,2,2,1,1,3,3,1,1,2,2,1,1,2,4,2,2,3,2,1,1,1,2,1,1,2
58,0,86,13,4,2,3,2,2,3,2,1,1,2,1,1,3,1,3,2,1,2,1,1,3,2,1,1,1,1
59,0,87,12,4,4,2,2,2,2,2,1,1,1,3,1,1,3,3,1,1,1,1,1,3,3,1,1,1,1
60,1,86,13,2,1,1,1,4,4,2,1,4,2,1,1,1,4,1,4,1,1,4,3,1,1,1,4,1,1
61,0,87,12,2,4,2,4,2,4,2,2,2,2,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1
62,0,87,12,3,3,4,2,4,4,1,4,4,1,2,2,3,3,3,3,2,4,4,2,1,3,3,4,1,3
63,1,86,13,3,2,3,3,3,3,2,1,3,2,2,1,2,2,2,2,2,2,3,2,2,3,3,3,3,2
64,1,89,10,3,1,3,2,2,3,1,,2,1,2,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1
65,0,89,10,1,1,1,1,1,1,4,1,1,1,1,1,1,1,3,1,1,1,1,1,4,1,1,1,1,1
66,1,88,11,2,3,3,2,2,3,2,1,2,2,3,1,1,1,2,3,2,2,3,2,2,3,1,2,1,1
67,0,88,11,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
69,0,88,11,2,1,2,1,2,4,1,1,2,1,1,2,1,1,2,1,2,3,4,3,3,4,1,1,1,1
70,0,89,10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
71,1,88,11,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,1,88,11,3,1,1,1,1,2,2,2,1,1,1,2,2,1,3,3,2,2,2,1,3,2,1,1,1,1
73,1,89,10,3,3,3,3,3,3,2,4,3,2,3,2,4,3,4,2,3,4,2,4,3,3,3,3,4,3
74,0,89,10,4,1,2,2,1,4,4,4,4,1,,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1
75,1,87,12,3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2
77,1,87,12,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2
78,0,86,13,4,4,1,4,4,4,1,1,3,4,4,4,1,4,1,4,2,4,4,4,1,4,4,4,1,1
79,1,86,13,1,1,2,1,4,4,3,1,2,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
80,1,87,12,1,2,3,3,1,3,1,1,1,1,1,3,3,1,3,1,3,4,4,1,3,1,1,1,4,4
81,1,87,12,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,2,1,1
82,1,87,12,4,1,1,1,1,4,1,1,1,1,1,2,1,1,4,1,1,1,1,1,4,1,1,1,1,1
83,1,86,13,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1
84,1,86,13,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85,1,87,12,1,2,2,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,2,1,1,1,1,1,1
86,1,87,12,3,4,2,3,3,3,3,1,2,3,3,1,1,1,2,4,1,4,4,2,1,2,1,2,1,1
87,1,87,12,1,2,,4,2,3,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1
88,1,87,12,3,2,3,1,2,3,2,1,3,2,2,1,1,1,2,1,2,3,3,2,3,3,2,2,1,1
89,0,87,12,4,2,2,4,4,,3,3,3,3,2,3,2,2,3,2,3,3,2,2,3,2,2,2,2,2
90,0,86,13,2,3,2,3,3,3,3,3,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2
91,1,87,12,4,2,1,2,1,4,4,1,1,1,1,3,4,1,4,1,4,4,1,1,4,1,,,,1
92,0,86,13,1,4,4,4,3,3,3,3,3,4,3,3,4,4,1,,3,3,4,4,2,3,2,,3,4
93,1,86,13,1,1,3,2,4,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
94,0,86,13,3,1,1,1,2,2,1,1,1,1,1,1,3,1,1,2,3,3,1,1,1,1,1,1,1,1
95,0,87,12,3,3,3,3,3,3,3,2,3,2,3,3,2,2,2,3,3,3,1,3,3,3,3,3,2,2
96,1,86,13,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1
97,0,87,12,4,3,4,3,3,3,3,3,1,2,3,3,3,3,3,3,1,2,3,3,3,3,2,3,2,3
98,0,87,12,3,2,3,2,2,3,3,2,3,2,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,3
99,1,87,12,4,2,4,3,3,3,3,1,3,2,3,2,3,1,3,3,3,3,3,2,3,2,2,3,1,2
100,0,87,12,3,3,3,2,3,3,3,3,4,3,3,3,3,3,3,3,4,3,4,3,2,1,3,2,3,4
101,0,86,13,3,4,3,4,3,2,1,2,3,4,3,2,2,2,3,3,3,3,2,3,3,2,1,2,3,3
102,0,87,12,3,2,2,2,2,3,2,1,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,3
104,0,87,12,3,1,3,1,4,1,1,3,2,,1,1,1,1,1,3,3,2,3,1,1,1,1,1,1,1
105,0,87,12,3,4,2,2,4,4,3,1,3,2,2,2,3,1,3,3,1,2,3,4,4,4,4,4,2,2
106,0,87,12,4,4,2,2,3,3,3,4,3,4,3,3,2,3,2,3,2,3,4,3,2,3,3,4,3,3
108,0,87,12,1,2,2,2,4,1,1,1,1,2,2,1,1,1,2,2,2,1,2,2,1,2,1,2,1,1
110,1,87,12,4,1,1,4,1,4,3,1,1,1,3,1,3,2,3,1,1,1,1,1,3,3,3,3,1,3
111,1,86,13,3,2,4,2,2,3,3,1,1,1,1,1,1,1,1,3,1,3,4,3,2,4,3,2,2,2
112,1,86,13,3,4,3,2,3,3,2,2,2,4,3,2,4,3,2,4,1,2,2,3,2,2,2,2,3,3
113,0,87,12,1,3,1,2,3,2,3,1,1,4,3,2,1,3,1,4,2,1,3,4,1,3,1,2,1,1
114,1,87,12,3,,2,1,2,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1
115,1,87,12,1,2,4,4,4,4,3,1,1,1,4,1,4,4,1,4,1,1,4,4,1,4,1,4,1,4
116,0,87,12,3,1,1,1,1,3,1,1,1,1,1,1,1,1,4,1,1,1,1,1,3,1,1,1,1,1
117,1,86,13,3,2,3,3,3,2,3,2,3,2,3,2,2,1,1,2,1,1,2,3,1,3,1,2,2,1
118,0,86,13,3,3,2,2,1,2,3,1,1,1,2,1,2,2,3,2,2,2,2,1,3,2,1,2,2,2
120,0,87,12,2,2,1,2,,3,2,1,2,1,2,,1,1,2,2,2,2,2,2,2,2,1,2,1,2
121,1,87,12,4,3,3,4,3,1,1,,2,2,2,1,2,2,1,3,3,1,3,2,1,3,2,2,1,3
122,1,87,12,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
123,0,86,13,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
124,0,87,12,1,1,1,3,1,3,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
125,0,86,13,2,2,3,2,2,3,2,3,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2
126,0,86,13,3,2,3,2,3,4,1,1,2,2,3,2,1,1,3,1,2,3,2,1,2,2,1,1,1,1
127,1,86,13,2,3,1,2,3,4,2,1,1,1,2,2,2,1,2,2,2,3,2,2,2,2,1,1,2,2
128,0,86,13,2,2,2,2,2,3,2,2,1,2,2,1,3,2,2,2,1,2,3,2,3,2,1,1,1,1
129,0,87,12,1,4,3,4,4,4,3,1,2,3,4,3,1,4,,4,3,3,4,4,3,4,2,4,3,1
130,0,86,13,3,2,2,2,2,2,2,1,2,3,2,2,3,1,3,2,3,3,2,2,3,3,1,2,1,1
131,1,86,13,1,1,3,,3,3,2,1,3,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1
132,1,87,12,1,2,1,1,1,2,1,1,1,1,1,1,1,1,4,1,4,4,1,1,4,1,1,1,1,1
133,0,87,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2
134,0,87,12,3,2,2,2,3,4,2,2,2,1,2,2,1,3,3,3,2,2,2,2,2,3,2,2,2,2
135,0,87,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
136,0,87,12,3,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1
137,1,87,12,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
138,1,86,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
139,0,87,12,3,4,1,1,2,3,2,1,1,3,3,2,3,2,2,1,2,2,2,2,2,2,2,2,2,2
140,1,87,12,2,3,2,,3,2,3,1,4,3,2,1,1,2,2,3,2,1,2,3,2,3,2,3,3,3
141,1,87,12,3,3,2,3,3,2,3,1,3,2,2,3,2,1,2,2,1,2,3,2,3,2,1,3,2,1
142,0,87,12,3,2,1,2,2,2,1,1,2,1,1,2,1,1,2,3,2,2,2,,3,1,2,2,1,2
143,1,88,11,3,3,2,2,2,2,2,1,1,1,1,3,2,1,2,2,1,1,3,3,1,1,1,1,1,1
144,0,89,10,,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
145,1,87,12,3,1,2,3,2,2,2,2,2,1,1,2,1,3,3,2,3,2,3,2,2,3,3,1,2,1
146,0,87,12,3,3,3,,3,3,2,3,3,3,2,2,2,2,3,2,3,3,2,2,2,2,2,2,2,2
147,0,87,12,3,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
148,0,87,12,2,3,3,4,3,3,1,1,3,3,2,1,1,2,1,3,2,1,3,3,1,3,1,3,1,1
149,1,87,12,1,3,2,3,3,4,3,1,2,2,2,2,2,2,1,2,2,3,3,3,2,2,1,2,1,1
150,0,88,11,4,4,4,4,4,4,1,3,4,4,4,4,1,4,1,4,4,4,4,4,1,4,4,4,4,4
151,0,88,11,2,2,2,2,3,4,1,1,2,2,2,2,1,2,2,2,2,2,4,4,2,2,2,2,2,4
152,0,89,10,3,3,4,3,3,3,3,2,2,2,1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,1
153,1,87,12,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
154,1,88,11,4,3,1,1,1,4,4,1,1,1,1,1,1,1,3,1,1,1,1,3,4,1,1,1,1,4
155,1,88,11,2,1,3,2,1,3,3,1,1,2,2,1,1,1,3,2,1,2,1,3,3,1,2,2,1,1
156,1,88,11,3,3,3,3,3,3,3,4,3,3,4,3,1,2,4,2,4,3,2,1,2,3,2,2,2,2
157,1,87,12,2,2,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
158,1,88,11,2,3,2,2,2,3,3,2,3,2,2,2,2,2,3,2,2,2,3,2,3,2,2,3,2,2
159,1,88,11,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,1,1,1,1,1
160,1,88,11,3,4,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,4,3,3,2,3,2,2
161,0,88,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
162,1,88,11,4,1,1,2,,2,3,4,3,,3,3,2,2,4,1,1,1,1,3,4,3,2,,3,2
164,0,88,11,1,2,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
165,0,88,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
166,0,87,12,2,3,3,1,1,3,2,1,1,1,2,2,3,1,2,2,2,1,3,1,2,3,1,2,3,2
167,0,88,11,1,1,2,1,1,2,1,1,2,1,2,1,1,1,1,1,2,1,2,1,1,2,1,2,2,1
168,1,88,11,3,2,2,3,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,3,2,2,2,2,2,2
169,1,88,11,1,3,1,4,3,4,3,1,3,2,3,1,1,2,2,2,2,2,3,2,3,1,2,3,1,1
170,0,87,12,4,1,3,,2,1,4,3,1,3,1,3,2,2,3,1,1,1,1,1,1,1,1,1,1,2
173,1,86,13,3,2,4,3,3,3,2,1,2,2,2,4,3,1,3,2,3,3,2,1,3,3,1,2,3,4
174,1,86,13,3,2,2,2,2,3,2,1,2,2,2,2,2,2,3,2,2,2,3,2,3,2,2,2,2,2
175,0,86,13,3,4,2,4,3,4,4,1,2,4,1,2,1,1,1,4,2,3,2,4,1,2,1,1,2,1
176,0,86,13,2,4,3,4,4,4,3,1,3,4,4,1,2,4,2,4,4,4,4,4,1,4,4,4,1,1
177,1,87,12,1,3,2,3,2,3,3,1,3,3,3,1,1,2,2,4,3,3,1,2,3,4,1,4,3,4
178,0,87,12,3,3,2,4,3,3,3,1,2,3,2,3,4,4,2,3,3,3,4,3,2,2,2,3,1,2
179,1,87,12,2,2,2,3,2,3,3,1,3,2,3,2,3,1,1,1,3,3,2,2,1,3,2,2,1,2
180,0,87,12,1,3,3,4,3,3,3,3,3,2,1,1,1,2,2,3,2,2,1,3,4,3,1,1,1,1
182,0,86,13,2,1,4,2,2,4,1,4,3,1,1,1,3,1,3,1,1,1,2,1,2,2,3,2,2,4
183,1,87,12,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,3,1,2,2,2,2,2
184,0,86,13,3,4,3,4,4,1,4,4,4,4,4,1,1,4,1,4,4,4,4,4,1,3,4,4,1,1
185,1,86,13,1,2,3,2,1,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1
186,1,88,11,1,1,3,1,4,4,4,1,1,1,3,1,1,1,1,3,1,1,2,3,1,2,1,1,1,1
187,0,87,12,4,3,3,3,3,3,3,1,3,3,3,3,3,2,3,3,2,3,2,3,3,3,2,3,2,2
188,1,87,12,3,3,3,2,4,4,4,1,4,3,2,2,2,2,2,1,4,4,1,2,1,4,3,4,3,2
189,0,86,13,3,3,3,3,3,3,3,4,3,,4,1,3,3,3,3,3,3,3,3,3,3,3,3,4,3
190,0,87,12,3,1,2,3,2,3,2,2,2,1,1,1,2,1,1,1,2,1,1,1,3,1,1,1,1,1
191,1,87,12,4,1,3,3,4,3,2,2,2,3,3,2,4,3,2,3,1,,2,2,3,,4,3,1,4
192,0,87,12,3,2,2,3,2,1,1,1,2,2,2,1,1,1,1,2,3,1,1,2,2,2,1,1,1,1
193,1,87,12,1,3,4,2,1,4,4,2,3,1,2,1,2,1,1,2,3,2,3,4,2,3,2,1,1,4
194,0,87,12,3,4,2,4,1,2,1,1,2,3,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1
195,1,87,12,3,1,2,3,3,2,2,1,2,2,1,1,1,1,2,3,2,4,2,2,1,2,1,2,1,2
196,1,87,12,3,1,4,2,1,4,3,1,4,1,4,1,1,1,3,1,1,1,3,1,3,3,1,3,1,1
197,1,87,12,1,1,4,1,4,4,4,3,1,1,4,1,1,4,4,1,2,1,1,1,4,1,4,4,4,4
198,0,87,12,3,2,1,4,2,2,1,1,4,3,2,2,1,2,3,4,2,2,1,3,2,1,1,2,2,1
199,1,87,12,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2
200,0,87,12,3,2,3,2,2,1,2,1,2,2,2,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1
201,0,86,13,3,1,2,1,1,3,2,1,2,1,1,1,1,1,1,,,,1,2,2,1,2,1,1,1
203,0,87,12,2,3,2,3,1,3,1,1,2,1,1,1,1,1,2,1,2,1,1,1,3,2,1,2,2,1
204,0,89,10,3,2,3,3,2,2,3,1,3,2,2,2,1,,3,3,2,3,3,3,3,4,3,3,4,3
205,1,89,10,2,2,2,3,3,3,2,1,1,2,2,3,2,2,2,2,2,2,3,2,3,1,1,2,1,1
206,0,89,10,2,2,2,2,3,2,2,2,2,2,1,1,1,1,3,3,1,1,1,3,3,1,1,1,1,3
207,0,88,11,4,2,2,4,2,2,3,4,3,2,2,1,2,1,3,2,1,1,2,3,2,1,1,1,1,1
208,0,89,10,4,4,4,3,4,4,4,,2,4,3,3,1,3,3,4,1,1,1,4,2,3,2,4,1,1
209,1,89,10,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,3,1,1,1,1,1
210,0,88,11,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,2
211,0,88,11,1,4,2,4,4,1,1,1,2,3,3,4,1,1,1,4,1,1,4,3,1,4,1,4,1,1
212,1,89,10,2,2,2,2,2,3,2,1,,2,1,2,3,1,2,1,1,1,2,2,2,1,1,2,1,1
213,1,88,11,2,1,1,1,4,4,4,1,1,1,1,1,1,2,4,4,1,1,4,1,4,4,1,1,1,1
214,1,89,10,2,1,1,3,2,2,3,2,1,1,2,1,1,1,3,1,1,1,2,3,4,4,2,1,2,1
216,1,88,11,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
217,1,88,11,3,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,3,3,,3,1,1,1,1
218,0,88,11,4,1,2,1,1,2,1,1,1,,2,2,3,2,4,2,2,4,2,1,1,1,2,2,1,1
219,1,88,11,3,3,3,2,2,2,3,1,2,2,1,2,2,1,4,2,1,1,1,1,4,1,1,1,1,1
220,1,88,11,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
221,0,88,11,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1
222,1,89,10,1,3,2,3,1,1,1,1,1,3,1,1,1,1,1,3,1,3,2,2,1,1,1,2,1,1
223,1,89,10,4,4,3,2,3,4,4,2,3,4,2,4,3,4,3,4,3,4,4,4,4,3,4,4,4,2
224,1,89,10,3,2,1,3,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1
225,0,89,10,1,2,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
226,0,89,10,3,2,4,1,4,4,3,1,3,2,3,2,4,1,3,2,4,4,3,2,4,4,1,2,1,4
227,0,88,11,3,2,2,2,2,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
229,0,88,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1
230,0,89,10,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
231,0,88,11,2,1,2,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1
232,1,88,11,4,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
234,0,89,10,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,
235,0,88,11,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
236,0,89,10,1,1,2,3,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
237,0,88,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
238,0,88,11,4,4,1,3,4,4,1,1,1,4,1,4,4,1,4,4,4,4,1,1,4,1,1,1,1,1
239,0,88,11,1,3,3,2,4,3,2,1,1,2,3,1,1,1,3,1,1,3,1,1,3,2,3,1,2,2
240,0,88,11,2,1,2,1,2,2,1,1,1,1,2,1,1,1,2,2,2,1,2,1,1,3,2,2,3,2
241,0,88,11,4,1,1,2,1,1,1,1,2,2,1,2,1,1,4,1,4,1,1,1,4,1,1,1,1,1
242,0,88,11,4,1,2,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1
