問卷編號,"性別(男:0, 女:1)",出生年,年齡,"CIAS_1(CIAS編碼 1: 非常不同意, 2: 不同意, 3: 同意, 4: 非常同意)",CIAS_2,CIAS_3,CIAS_4,CIAS_5,CIAS_6,CIAS_7,CIAS_8,CIAS_9,CIAS_10,CIAS_11,CIAS_12,CIAS_13,CIAS_14,CIAS_15,CIAS_16,CIAS_17,CIAS_18,CIAS_19,CIAS_20,CIAS_21,CIAS_22,CIAS_23,CIAS_24,CIAS_25,CIAS_26
19,1,86,13,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
20,1,85,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,1,85,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,1,86,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
23,0,86,13,4,3,2,2,4,2,2,2,2,2,3,2,3,2,3,2,3,3,3,2,2,3,2,2,2,2
24,1,85,14,1,2,1,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,1,85,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,1,85,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
27,0,86,13,2,2,2,3,2,3,1,1,1,1,2,2,2,2,2,2,1,1,2,2,3,2,1,1,1,1
28,1,86,13,4,3,4,1,2,4,1,1,3,3,1,1,3,1,1,1,1,3,,1,1,4,1,2,4,1
29,1,85,14,4,4,3,4,2,4,2,1,2,2,2,1,2,1,1,4,2,3,1,3,2,2,1,1,3,2
30,0,86,13,1,2,2,3,3,2,3,1,1,1,2,1,2,1,1,1,1,1,3,3,3,1,1,1,1,1
31,1,86,13,3,2,3,2,2,3,2,1,2,2,2,2,3,2,4,2,2,3,3,2,3,2,1,2,2,1
32,1,86,13,2,2,2,2,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1
33,1,86,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,0,85,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,1,86,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
36,0,85,14,2,3,1,2,2,2,1,1,1,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1
37,0,86,13,2,1,1,1,1,3,2,1,2,,1,1,1,1,3,1,3,1,3,2,4,2,1,3,2,1
38,0,86,13,3,4,3,1,3,3,2,4,2,1,2,2,1,1,3,2,2,4,2,1,3,2,3,1,4,3
39,0,86,13,3,1,2,2,1,2,2,1,2,1,2,4,4,2,3,2,3,4,1,1,3,1,1,1,1,2
40,0,86,13,3,2,3,3,1,3,3,1,2,1,1,1,1,1,3,1,3,3,1,3,3,3,1,1,1,3
41,1,86,13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,4,2,1,1,1,1
42,1,86,13,4,3,1,2,3,1,1,1,1,4,1,1,1,1,3,3,1,1,1,4,3,1,1,4,1,1
43,1,86,13,3,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1
44,0,86,13,2,3,3,3,4,2,3,2,2,3,2,3,2,2,2,3,3,3,2,3,2,2,2,3,2,2
45,1,85,14,2,3,3,2,2,2,1,1,2,3,2,1,1,1,1,2,2,2,2,3,2,1,1,1,1,1
46,0,86,13,3,2,3,3,2,3,3,1,3,2,2,2,2,2,3,2,2,3,3,2,3,3,2,3,2,2
47,0,85,14,2,3,1,1,3,3,2,1,1,2,2,3,3,1,1,1,1,1,1,2,3,3,1,1,1,1
48,1,86,13,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1
50,0,86,13,3,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,1
51,1,85,14,4,4,4,4,4,4,4,3,4,4,4,3,1,4,1,4,2,1,4,4,1,1,3,3,3,4
52,0,86,13,1,4,1,4,4,4,4,2,1,2,4,2,2,3,1,3,1,1,2,1,1,1,1,4,1,1
53,1,86,13,2,2,1,1,2,2,1,1,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,1,2,1
54,1,86,13,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
55,1,86,13,2,3,2,2,3,3,3,1,3,2,1,1,1,2,3,3,3,2,1,3,1,2,3,2,1,1
56,0,86,13,3,2,1,3,,4,3,2,1,3,2,1,2,1,3,1,2,2,2,1,2,3,1,3,2,1
57,1,84,15,2,4,1,1,4,1,2,1,2,1,1,4,1,2,1,1,1,3,1,1,4,2,4,3,1,2
58,0,85,14,1,2,1,3,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1
59,1,86,13,3,2,1,2,1,2,2,1,3,2,,3,2,2,3,2,2,3,2,2,3,1,2,2,2,2
60,0,85,14,3,3,3,4,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,0,86,13,3,2,3,2,3,3,2,1,2,2,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,3
62,0,85,14,2,2,2,3,3,3,3,2,3,2,2,2,2,3,3,2,3,3,2,3,2,3,2,3,,2
63,0,85,14,3,2,2,3,2,1,3,1,1,1,2,1,1,2,3,2,4,4,2,1,2,1,1,1,1,1
64,0,85,14,4,2,3,3,1,1,2,1,1,1,1,1,1,2,1,2,2,,2,1,3,2,2,2,1,1
65,0,83,16,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
66,1,84,15,3,3,1,3,1,3,3,1,2,3,1,3,1,1,4,3,3,3,1,1,4,3,1,1,1,1
67,1,84,15,1,1,1,1,2,1,2,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,2,2
68,1,83,16,3,4,3,4,2,4,2,3,3,4,3,2,2,4,3,3,2,2,3,2,2,2,3,3,2,2
69,1,84,15,4,4,1,4,4,1,2,1,1,4,4,1,1,1,1,4,1,4,4,4,1,1,3,1,1,1
70,0,84,15,2,4,4,4,4,4,1,2,3,3,3,1,1,2,2,3,3,2,2,2,1,3,2,2,3,1
71,1,83,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1
72,0,83,16,4,3,3,2,3,3,3,2,3,2,2,2,2,3,3,2,3,4,2,1,3,2,2,2,2,3
73,0,84,15,4,3,2,3,3,4,2,1,1,2,2,1,1,1,2,2,3,2,1,4,1,2,1,1,1,1
74,0,83,16,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,3,3,3,2,3,1,1,1,1,1,3
75,1,84,15,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1
76,0,83,16,3,1,2,4,2,3,3,2,4,2,3,2,1,3,2,4,1,2,3,2,3,1,3,2,4,3
77,0,84,15,3,1,1,1,2,3,2,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1
78,1,83,16,3,3,2,2,2,2,3,1,2,2,2,1,2,1,2,3,2,2,3,2,3,3,1,2,1,1
79,0,84,15,3,2,3,2,2,4,2,1,1,1,2,4,3,1,1,1,2,3,2,2,3,2,3,2,3,2
80,1,83,16,3,2,4,2,4,4,2,1,3,2,2,1,2,3,3,1,2,3,3,3,2,1,1,3,2,1
81,1,84,15,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1
82,1,83,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,0,83,16,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,3,2,1,3,1,1,1,1,1,1
84,1,84,15,3,1,2,2,1,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1
85,0,83,16,3,2,2,2,2,2,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1
86,0,84,15,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
87,1,83,16,3,3,2,3,2,3,2,1,1,2,2,2,3,1,2,2,2,3,1,2,3,2,1,1,1,1
88,1,84,15,4,4,3,4,2,3,3,2,3,2,2,2,3,2,2,3,2,3,3,3,3,2,2,2,2,2
89,0,83,16,3,3,3,3,2,3,2,2,2,2,2,3,2,2,3,2,3,3,3,2,2,2,3,2,3,3
90,0,83,16,3,3,2,2,2,3,2,3,2,2,2,3,3,2,2,3,3,3,2,2,3,2,2,2,3,3
91,1,83,16,2,2,1,2,1,1,2,1,2,1,2,2,2,1,2,1,1,1,2,1,2,1,1,1,1,1
92,1,84,15,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
93,0,84,15,2,3,3,3,3,3,3,1,2,3,3,2,1,2,1,1,3,2,3,3,2,2,1,2,1,1
94,0,84,15,3,3,3,2,3,4,2,2,2,3,2,2,2,2,2,3,2,2,2,3,2,3,2,2,2,2
95,1,83,16,3,2,2,2,2,3,3,2,2,1,2,1,1,1,1,1,2,1,1,1,3,2,1,1,1,1
96,1,83,16,4,3,2,3,3,4,1,1,3,3,3,2,3,2,3,2,2,3,3,3,3,3,3,2,2,2
97,1,84,15,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
98,1,83,16,3,1,2,3,2,2,3,3,2,2,2,2,3,2,3,2,2,3,3,2,3,2,2,2,3,2
99,0,84,15,4,1,2,2,3,2,2,3,2,1,1,1,3,2,1,3,4,3,2,4,2,2,1,1,3,2
100,0,84,15,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
101,1,83,16,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102,1,84,15,3,2,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2,3,3,2,3,3,2,2,2,2
103,0,84,15,4,3,2,2,3,2,2,2,3,3,2,3,2,2,1,2,2,2,2,1,2,2,1,1,1,1
104,1,84,15,3,3,1,2,3,2,3,1,2,2,2,2,2,3,2,2,2,2,3,3,2,2,2,2,2,3
105,0,84,15,3,2,2,3,,1,1,1,1,1,1,1,1,1,1,1,4,4,4,1,4,4,1,1,3,1
106,1,84,15,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
107,1,84,15,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
108,0,84,15,3,1,2,1,3,2,2,1,3,1,1,1,1,1,2,1,1,1,1,1,1,4,1,1,1,1
109,1,84,15,2,2,2,3,3,2,1,1,1,1,2,1,1,2,1,2,1,3,1,2,1,1,2,1,1,1
110,0,85,14,3,2,2,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,1,3,2,2,2,2,3
111,0,84,15,3,2,4,3,3,3,3,1,2,2,2,3,3,2,4,3,4,4,2,1,4,3,1,1,1,2
112,0,85,14,4,2,1,4,2,2,2,4,1,3,1,2,4,1,1,3,1,1,1,4,3,1,1,1,1,1
113,0,84,15,2,2,2,3,3,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
114,0,84,15,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1
115,1,85,14,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
116,0,84,15,3,2,2,4,2,4,1,2,2,2,2,1,1,1,2,3,2,2,2,3,2,3,2,1,2,3
117,1,85,14,3,3,3,3,4,3,1,1,1,1,2,2,2,1,3,2,1,3,2,1,3,3,4,3,1,1
118,1,84,15,2,4,4,4,3,3,3,4,3,2,2,1,3,3,3,1,3,2,1,1,2,2,3,4,4,3
119,1,84,15,3,2,1,3,3,3,3,1,1,1,1,1,2,1,2,2,1,1,2,2,2,1,1,1,1,1
120,0,85,14,4,3,2,3,4,4,4,4,2,2,2,4,1,2,4,4,1,3,1,1,1,1,1,1,4,2
121,0,85,14,3,1,2,1,2,2,2,1,2,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2
122,1,85,14,4,4,4,4,4,4,2,2,3,4,4,1,4,2,2,4,3,3,4,4,3,4,2,4,4,2
123,0,85,14,3,4,2,4,4,4,4,1,2,3,4,4,4,2,3,4,3,3,4,1,2,1,1,4,2,2
124,0,85,14,2,2,2,3,4,2,2,3,3,3,2,3,2,2,2,3,3,3,2,2,3,3,2,2,3,3
125,1,85,14,3,2,2,3,3,3,2,2,3,2,3,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2
126,1,85,14,2,2,2,3,3,3,2,2,2,2,2,2,2,2,3,3,2,2,3,3,3,3,2,2,2,2
127,0,85,14,4,4,4,4,2,3,3,1,1,1,1,1,3,1,3,1,1,1,1,3,1,3,1,1,1,1
128,1,85,14,2,1,1,3,2,3,3,1,2,2,2,1,1,1,3,3,2,2,2,2,2,2,2,2,2,1
129,0,85,14,1,2,4,4,2,3,1,1,3,1,1,1,3,2,3,1,1,2,1,1,3,3,1,1,3,1
130,0,85,14,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2
131,1,84,15,3,4,4,4,4,4,1,1,3,4,4,1,1,4,1,4,1,1,3,4,1,4,1,4,1,1
132,1,85,14,4,4,2,3,2,4,3,1,2,2,3,2,4,1,2,2,2,4,4,4,4,4,1,2,1,1
133,0,85,14,3,2,3,2,2,3,2,1,2,2,2,2,2,2,2,2,2,3,3,2,1,1,1,1,1,1
134,1,85,14,3,3,4,3,3,3,2,1,2,2,3,1,3,1,1,4,3,3,4,4,2,2,1,1,3,1
135,1,84,15,3,2,3,3,2,2,2,1,2,2,2,1,1,2,3,2,2,2,2,2,2,3,2,2,2,2
136,0,84,15,3,1,3,1,1,1,1,1,1,1,1,1,1,1,4,3,,3,2,3,4,2,1,1,1,1
137,0,85,14,3,4,3,4,4,4,4,1,3,4,4,4,2,1,3,4,3,3,3,4,2,4,3,4,4,3
138,1,84,15,3,4,2,3,4,3,3,1,2,3,3,2,2,3,2,2,2,2,3,3,2,3,2,2,2,2
139,0,85,14,1,1,2,3,2,3,2,1,2,1,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1
140,0,84,15,4,3,1,2,,2,2,4,2,2,3,1,1,3,4,2,2,1,1,2,2,4,3,3,1,1
141,0,86,13,4,1,4,4,2,4,4,4,4,1,1,2,1,1,1,1,1,1,1,1,1,1,4,1,4,1
142,0,86,13,4,3,2,4,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
143,1,86,13,1,3,3,2,2,4,1,1,2,1,1,1,1,1,2,2,2,2,3,4,1,2,1,1,1,1
144,1,86,13,2,1,3,2,3,3,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
145,0,86,13,4,4,4,3,4,4,3,1,2,4,3,2,4,4,3,4,2,4,4,3,4,2,2,3,4,2
146,1,86,13,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1
147,1,85,14,2,2,2,1,1,1,1,1,2,2,1,3,3,1,1,1,3,3,1,1,3,2,1,1,1,1
148,0,86,13,2,3,2,3,3,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,2,2,3,2,3,2
149,0,86,13,3,4,4,4,4,4,3,3,3,4,4,2,2,2,3,4,2,1,4,4,3,4,4,4,1,1
150,0,86,13,3,2,2,2,3,3,3,1,3,2,2,3,3,2,4,2,2,3,2,1,4,3,2,2,2,4
151,0,86,13,2,3,2,3,3,2,2,1,1,1,2,1,1,1,1,2,1,1,2,3,2,2,1,2,1,1
152,1,85,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
153,1,85,14,2,3,4,3,1,2,4,1,1,4,3,1,2,1,3,2,3,2,1,3,3,2,1,2,1,3
154,1,86,13,1,2,2,1,1,2,1,1,1,1,1,1,2,1,4,1,1,2,1,2,2,1,1,1,1,1
155,1,86,13,3,2,4,2,4,4,2,4,2,1,2,1,3,1,1,1,1,1,3,2,2,2,2,1,1,4
156,0,86,13,1,1,1,1,3,3,3,4,1,1,1,1,2,3,1,1,1,1,4,4,4,4,1,1,1,1
157,1,86,13,2,3,3,2,3,3,3,2,3,2,3,1,1,1,2,2,1,2,2,3,3,2,1,2,1,1
158,1,86,13,1,2,1,3,1,2,1,1,1,1,2,1,3,1,1,1,1,1,2,2,1,1,1,1,2,
159,0,85,14,3,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
160,0,86,13,3,3,3,3,3,3,4,1,1,4,3,1,2,,3,2,3,2,1,3,3,2,1,2,1,3
161,0,86,13,3,2,3,2,3,3,3,1,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2
162,1,86,13,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,1,2
163,1,85,14,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,3,2,2,2,2,2,2,1
164,1,86,13,4,2,3,2,1,2,3,1,1,1,2,1,3,1,1,1,1,1,1,1,3,2,1,1,1,1
165,0,86,13,2,1,3,2,3,2,2,1,2,2,2,2,2,2,3,2,1,2,2,3,3,2,2,2,2,2
166,0,85,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,1
167,0,86,13,3,1,2,2,2,3,1,1,1,2,2,2,1,1,2,2,1,1,2,3,3,2,1,2,2,2
168,1,86,13,3,2,2,2,1,1,4,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2
169,1,84,15,2,4,3,4,2,2,3,1,3,2,2,2,3,1,2,2,2,3,3,2,2,2,2,2,2,2
170,0,85,14,3,3,3,2,2,4,1,1,1,2,2,2,3,2,2,2,2,1,2,1,3,2,1,1,1,1
171,1,85,14,1,1,2,3,4,4,4,3,2,2,4,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1
172,0,85,14,3,3,2,3,3,3,1,1,3,3,2,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2
173,1,84,15,3,1,3,3,2,2,3,1,2,2,2,2,2,2,3,2,1,1,1,1,3,,3,2,2,2
174,1,85,14,4,2,2,3,3,4,2,3,1,2,2,2,3,1,3,3,3,1,3,3,4,3,2,2,4,4
175,0,85,14,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2
176,1,85,14,2,2,3,3,4,4,2,2,3,2,1,1,3,2,3,2,3,3,2,3,3,2,3,3,3,3
177,1,84,15,1,3,1,1,1,1,1,1,1,3,3,1,1,1,1,3,1,3,2,2,1,1,1,1,1,1
178,0,85,14,2,4,3,3,3,3,2,1,3,2,2,2,2,2,2,3,2,2,4,3,2,2,3,2,2,1
179,0,84,15,3,4,4,4,4,4,3,4,4,4,3,4,3,4,3,4,3,4,4,4,3,3,4,4,2,3
180,0,85,14,3,4,4,4,4,4,4,2,2,3,4,3,3,3,3,4,4,4,3,3,4,4,4,3,4,4
181,0,85,14,1,4,2,4,4,3,2,1,2,4,3,2,2,4,2,4,2,2,4,4,2,1,2,4,2,1
182,1,85,14,2,2,4,1,3,3,2,1,2,1,2,1,1,1,2,1,3,3,3,3,2,2,1,1,1,1
183,1,84,15,3,2,3,3,2,3,2,1,1,1,2,1,1,1,1,1,2,1,1,3,4,3,1,1,1,1
184,1,84,15,3,3,2,4,3,3,2,1,3,2,2,3,3,1,2,2,3,1,2,2,3,2,1,2,1,1
185,1,85,14,3,4,2,3,3,4,2,1,2,2,2,1,1,2,1,3,3,2,2,3,1,1,1,1,1,1
186,1,85,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2
187,0,85,14,3,3,2,1,2,3,2,1,1,1,1,1,3,1,2,2,2,1,1,2,4,3,1,1,1,1
188,1,85,14,3,3,2,3,2,3,3,1,2,3,2,2,2,2,3,2,2,2,2,3,3,2,2,2,2,2
189,0,85,14,3,2,2,2,3,2,3,2,3,2,2,1,2,4,,2,1,,1,,3,1,1,1,1,1
190,1,87,12,2,2,2,3,2,1,3,2,2,2,3,2,3,2,2,2,2,2,3,3,2,2,2,2,2,2
191,1,85,14,3,2,2,3,2,2,3,2,2,2,2,1,1,1,3,1,1,1,2,2,3,2,2,1,2,2
192,0,85,14,3,4,3,4,4,4,3,2,2,2,3,2,2,2,2,2,2,2,4,2,2,3,2,2,2,3
193,1,85,14,3,2,2,2,,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2
194,0,85,14,3,4,2,2,3,3,4,2,3,1,1,1,1,1,2,2,2,2,2,2,2,3,2,1,2,1
195,1,85,14,4,4,4,3,2,4,3,1,3,1,1,1,2,1,3,3,1,1,1,2,2,3,1,1,1,1
196,1,85,14,1,1,1,1,1,4,1,1,1,1,1,1,1,1,3,1,2,2,3,1,2,2,1,1,1,1
197,0,84,15,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
198,1,85,14,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1
199,1,85,14,2,1,2,2,2,3,3,1,2,2,2,2,3,1,3,1,1,1,2,3,2,3,1,2,2,2
200,0,85,14,1,1,2,1,2,3,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,1,2,1
201,1,85,14,1,1,2,1,2,4,1,1,2,2,1,2,1,2,3,4,3,3,2,2,3,2,2,2,2,2
202,1,85,14,2,3,2,4,3,4,4,1,4,2,2,2,2,1,4,3,2,4,3,4,4,3,4,3,1,2
203,1,85,14,2,3,2,2,2,3,3,1,2,1,2,2,2,2,3,2,2,2,3,3,3,2,2,2,1,1
204,0,85,14,1,4,4,4,4,4,1,1,2,2,4,2,2,4,3,4,4,1,3,4,2,4,2,4,3,3
205,0,86,13,3,2,2,2,1,1,3,1,1,1,1,2,2,1,1,2,1,1,1,1,3,2,1,1,2,1
206,0,86,13,1,3,3,3,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1
207,0,85,14,3,1,2,3,1,2,2,1,2,2,1,1,1,2,3,2,1,1,2,1,3,2,1,1,1,1
208,0,86,13,3,2,3,2,2,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,,2,1,1,3,2
209,0,85,14,3,2,3,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2
210,1,85,14,3,4,4,3,2,3,4,1,4,3,3,3,4,2,1,1,3,1,4,4,1,3,1,2,3,1
211,1,86,13,2,1,2,1,1,2,2,1,1,2,1,1,2,2,1,2,1,2,2,2,1,1,1,1,3,1
212,0,86,13,3,3,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
213,0,85,14,3,2,1,1,1,3,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1
214,1,86,13,1,4,2,4,4,4,1,1,1,4,4,1,4,,,4,1,4,4,4,4,4,1,1,3,1
215,1,86,13,3,2,3,2,2,3,3,3,3,2,3,2,3,2,3,3,2,3,3,2,3,3,3,3,3,3
216,0,85,14,1,2,2,2,2,2,2,1,3,2,2,1,3,1,1,2,1,1,2,1,2,1,1,1,1,1
217,1,86,13,3,1,3,1,2,2,3,1,3,2,1,3,2,3,3,2,3,3,2,2,3,,2,2,3,1
218,1,85,14,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
219,1,86,13,3,2,3,2,2,2,2,1,1,1,2,1,3,2,2,2,3,3,1,1,2,2,1,1,3,1
220,0,85,14,3,3,2,4,2,4,4,2,2,2,3,1,2,4,3,4,2,2,2,3,3,3,2,2,2,2
221,1,86,13,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,3,1,3,1,1,3,2,1,1,1,1
222,1,86,13,3,1,3,1,2,4,3,1,2,1,1,1,2,1,3,2,1,1,1,1,4,4,2,1,1,1
223,0,86,13,3,4,3,4,4,4,2,1,2,3,3,2,2,1,2,4,1,2,4,3,2,3,1,1,1,1
224,0,86,13,3,2,3,3,2,2,2,2,2,1,1,2,3,2,2,2,2,3,3,,3,2,2,2,2,1
225,1,86,13,4,3,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,2,3,3,2,2,2,1,3,3
226,1,86,13,3,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,1,1,2,2,3,2,1,2,1,1
